8655,30,0,0
8668,30,0,0
8682,30,1,4
8696,30,1,4
8709,30,4,3
8723,30,4,3
8737,30,4,5
8751,30,4,5
8765,30,5,5
8779,30,5,5
8792,30,6,5
8806,30,6,5
8820,30,6,6
8834,30,6,6
8848,30,5,6
8862,30,5,6
8875,30,6,7
8889,30,6,7
8903,30,6,6
8917,30,6,6
8931,30,6,7
8945,30,6,7
8958,30,6,6
8972,30,6,6
8986,30,7,6
9000,30,7,6
9014,30,5,7
9028,30,5,7
9041,30,7,6
9055,30,7,6
9069,30,5,7
9083,30,7,6
9097,30,7,6
9111,30,6,6
9124,30,6,6
9138,30,6,7
9152,30,6,7
9166,30,6,6
9180,30,6,6
9194,30,6,6
9207,30,6,6
9221,30,6,7
9235,30,6,7
9249,30,6,6
9263,30,6,6
9277,30,6,7
9290,30,6,7
9304,30,6,7
9318,30,6,7
9332,30,6,6
9346,30,6,6
9360,30,6,6
9373,30,6,6
9387,30,7,7
9401,30,7,7
9415,30,6,6
9429,30,6,6
9443,30,6,7
9456,30,6,7
