9445,50,0,0
9458,50,0,0
9472,50,0,0
9486,50,4,3
9499,50,4,3
9513,50,6,6
9527,50,6,6
9541,50,9,8
9555,50,9,8
9569,50,9,9
9582,50,9,9
9596,50,10,11
9612,50,10,11
9628,50,10,10
9644,50,10,10
9660,50,10,10
9676,50,11,11
9692,50,11,11
9708,50,9,11
9723,50,11,11
9739,50,11,11
9755,50,10,11
9771,50,10,11
9787,50,11,11
9803,50,11,12
9819,50,11,12
9835,50,10,11
9850,50,10,11
9866,50,10,11
9882,50,11,11
9898,50,11,11
9914,50,11,11
9930,50,11,11
9946,50,11,12
9962,50,10,11
9978,50,10,11
9994,50,10,11
10010,50,10,11
10027,50,11,11
10044,50,10,11
10061,50,10,11
10078,50,11,12
10095,50,11,11
10112,50,11,11
10129,50,10,11
10146,50,10,11
10163,50,11,11
10180,50,10,11
10197,50,10,11
10214,50,11,11
10231,50,10,12
10248,50,10,12
10265,50,11,11
